policy,source_split,target,selection_status,selected_objective,oracle_objective,exact_oracle_match,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,selected_runtime_sec,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,baseline_runtime_sec,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,oracle_runtime_sec,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,runtime_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
baseline_factor_count,internal,barenco_tof_3,ok,factor_count,factor_count,True,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,1.0,1.0,1.0,,1.0,1.0
best_fixed_loto,internal,barenco_tof_3,ok,factor_count,factor_count,True,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,1.0,1.0,1.0,,1.0,1.0
circuit_1nn,internal,barenco_tof_3,ok,factor_count_pair_cap,factor_count,False,13.0,0.4528301886792453,162.0,,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,1.0,1.1428571428571428,1.0,,1.0,1.0
circuit_knn3,internal,barenco_tof_3,ok,factor_count_pair_cap,factor_count,False,13.0,0.4528301886792453,162.0,,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,1.0,1.1428571428571428,1.0,,1.0,1.0
circuit_nearest_centroid,internal,barenco_tof_3,ok,mixed_pair,factor_count,False,23.0,0.6226415094339622,173.0,,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,1.7692307692307692,1.5714285714285712,1.0679012345679013,,1.7692307692307692,1.0679012345679013
circuit_softmax,internal,barenco_tof_3,ok,factor_count_pair_cap,factor_count,False,13.0,0.4528301886792453,162.0,,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,1.0,1.1428571428571428,1.0,,1.0,1.0
shuffled_centroid_control,internal,barenco_tof_3,missing-selected-objective,depth_guarded_mixed_pair,factor_count,,,,,,,,,,,,,,,,,,,
oracle_posthoc,internal,barenco_tof_3,ok,factor_count,factor_count,True,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,13.0,0.39622641509433965,162.0,,1.0,1.0,1.0,,1.0,1.0
baseline_factor_count,external_journal_k6_backfill,barenco_tof_3,ok,factor_count,t_preserving_frontier_pair,False,13.0,0.4528301886792453,183.0,66.47563624382019,13.0,0.4528301886792453,183.0,66.47563624382019,13.0,0.37735849056603776,161.0,64.7840199235361,1.0,1.0,1.0,1.0,1.0,1.1366459627329193
best_fixed_loto,external_journal_k6_backfill,barenco_tof_3,ok,factor_count,t_preserving_frontier_pair,False,13.0,0.4528301886792453,183.0,66.47563624382019,13.0,0.4528301886792453,183.0,66.47563624382019,13.0,0.37735849056603776,161.0,64.7840199235361,1.0,1.0,1.0,1.0,1.0,1.1366459627329193
circuit_1nn,external_journal_k6_backfill,barenco_tof_3,missing-selected-objective,factor_count_pair_cap,t_preserving_frontier_pair,,,,,,,,,,,,,,,,,,,
circuit_knn3,external_journal_k6_backfill,barenco_tof_3,missing-selected-objective,factor_count_pair_cap,t_preserving_frontier_pair,,,,,,,,,,,,,,,,,,,
circuit_nearest_centroid,external_journal_k6_backfill,barenco_tof_3,missing-selected-objective,mixed_pair,t_preserving_frontier_pair,,,,,,,,,,,,,,,,,,,
circuit_softmax,external_journal_k6_backfill,barenco_tof_3,missing-selected-objective,factor_count_pair_cap,t_preserving_frontier_pair,,,,,,,,,,,,,,,,,,,
shuffled_centroid_control,external_journal_k6_backfill,barenco_tof_3,ok,t_preserving_frontier_pair,t_preserving_frontier_pair,True,13.0,0.37735849056603776,161.0,64.7840199235361,13.0,0.4528301886792453,183.0,66.47563624382019,13.0,0.37735849056603776,161.0,64.7840199235361,1.0,0.8333333333333334,0.8797814207650273,0.9745528374624418,1.0,1.0
oracle_posthoc,external_journal_k6_backfill,barenco_tof_3,ok,t_preserving_frontier_pair,t_preserving_frontier_pair,True,13.0,0.37735849056603776,161.0,64.7840199235361,13.0,0.4528301886792453,183.0,66.47563624382019,13.0,0.37735849056603776,161.0,64.7840199235361,1.0,0.8333333333333334,0.8797814207650273,0.9745528374624418,1.0,1.0
baseline_factor_count,external_night_long,barenco_tof_4,ok,factor_count,mixed_pair,False,64.0,,298.0,,64.0,,298.0,,42.0,,266.0,,1.0,,1.0,,1.5238095238095237,1.1203007518796992
